Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
07/31/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Santander Bank US,NJ,07106,,N/A,Web,08/01/2013,Closed with explanation,Yes,No,470903
07/29/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,HSBC North America Holdings Inc.,OH,44112,Older American,N/A,Phone,07/30/2013,Closed with explanation,Yes,No,469669
07/29/2013,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Experian,NY,14622,,N/A,Web,07/31/2013,Closed with explanation,Yes,No,469670
07/31/2013,Debt collection,Credit card,Taking/threatening an illegal action,Sued w/o proper notification of suit,,,Encore Capital Group,NY,14212,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,487029
07/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,IN,47265,Older American,N/A,Web,07/30/2013,Closed with explanation,Yes,No,469678
07/30/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Fidelity National Information Services, Inc. (FNIS)",CO,81302,,N/A,Web,09/17/2013,Closed with explanation,Yes,No,469732
07/31/2013,Credit card,,Payoff process,,,,Citibank,NJ,07018,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,480935
07/31/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,NY,14212,,N/A,Web,07/31/2013,Closed with explanation,Yes,Yes,493136
07/31/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,CA,95037,,N/A,Web,07/31/2013,Closed with explanation,Yes,Yes,454695
07/30/2013,Debt collection,Federal student loan,Communication tactics,Frequent or repeated calls,,,"Navient Solutions, Inc.",NY,10026,,N/A,Web,07/29/2013,Closed with explanation,Yes,No,469736
07/31/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Citibank,CA,90045,,N/A,Web,07/31/2013,Closed with explanation,Yes,No,748242
07/31/2013,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,The Moore Law Group,CA,91711,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,470913
07/30/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,"Franklin Collection Service, Inc.",IL,60440,,N/A,Phone,08/01/2013,Closed with explanation,Yes,No,469711
07/31/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,HSBC North America Holdings Inc.,FL,32747,,N/A,Web,07/31/2013,Closed with explanation,Yes,Yes,482443
07/30/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,EverBank,TN,37217,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,469734
